First Name,Last Name,Email,Room Reserved,Check-In Date,Check-Out Date,Room Type,Room Price
Mahajabeen ,Mohsin,majpanda@gmail.com,209,5/1/2000,8/1/2000,SINGLE,100
Sokanu,Dullah,sokanudullah@gmail.com,220,7/6/2000,4/7/2000,DOUBLE,200
Siraj ,Dullah,sirajdullah@gmail.com,101,4/7/2000,5/4/2008,DOUBLE,200
Tahmin,Siraj,elendiltahmin@gmail.com,111,1/11/2024,1/11/2025,DOUBLE,200
Muhtady,Khan,mkhan@gmail.com,205,8/4/2010,8/9/2010,SINGLE,100
Nicolina,Ricciardi,nikki@gmail.com,106,6/7/2004,10/5/2004,SINGLE,100
Dylan,Sandler,dman@gmail.com,107,5/6/2010,8/7/2011,SINGLE,100
Imon,Tatar,geniusprogrammer@gmail.com,203,4/1/2010,3/2/2011,SINGLE,100
Aminur,Nafio,bestdude@gmail.com,102,6/10/2013,7/9/2014,SINGLE,100
Meredith,Finn,mkfinn@gmail.com,201,7/4/2014,8/1/2015,DOUBLE,200
